ID,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,ID_Count,Platform_Count,Activity_Type_Count,USD_Adjusted_Amount,Subscription Duration,Normalized Purchase Amount,Language_ARA,Language_CHI,Language_DAR,Language_DEU,Language_EBR,Language_ENG,Language_ESC,Language_ESP,Language_FAR,Language_FRA,Language_GLE,Language_GRK,Language_HEB,Language_HIN,Language_IND,Language_ITA,Language_JPN,Language_KIS,Language_KOR,Language_LAT,Language_NED,Language_PAS,Language_POL,Language_POR,Language_RUS,Language_SVE,Language_TGL,Language_TUR,Language_URD,Language_VIE
192,Limited,RENEWAL,App,0,,1/4/20,7/4/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,6,0,0,0,0,26,1,4,,182,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Limited,RENEWAL,Web,89.204637,EUR,1/12/20,7/12/20,No,No,On,Other,Other,Unknown,No,No,3,2,0,1,0,1,0,0,89.204637,182,-0.018506267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Lifetime,INITIAL_PURCHASE,Web,195.56,USD,12/6/19,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,27,2,4,195.56,28881,-0.018505915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/9/20,5/9/20,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0,29,1,4,35.97,90,-0.018506444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Limited,RENEWAL,App,0,,5/31/19,5/31/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,44,1,4,,366,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Limited,INITIAL_PURCHASE,App,69990000,USD,12/12/19,6/12/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,35,1,4,69990000,183,0.213590592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/28/20,6/14/20,No,Yes,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0,32,2,4,35.97,107,-0.018506444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,Limited,INITIAL_PURCHASE,App,44990000,USD,2/27/20,5/28/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,15,0,0,0,0,38,1,4,44990000,91,0.130686907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Limited,RENEWAL,App,0,,3/22/20,12/22/20,No,Yes,Off,US/Canada,Consumer,App,No,Yes,1,1,0,1,0,7,1,2,,275,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Lifetime,INITIAL_PURCHASE,Web,189,USD,1/15/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,5,0,0,0,0,37,1,4,189,28841,-0.018505936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
